TRANSFER: From Acc 3 -> To Acc 1 | Amount: 100.00
[19/03/2026 18:36:52] TRANSFER: From Acc 1 -> To Acc 3 | Amount: 1000.00
[19/03/2026 21:23:11] INTEREST: Acc 1 | Amount: 320.00 | Balance: 8320.00
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
[19/03/2026 21:23:11] INTEREST: Acc 2 | Amount: 200.02 | Balance: 5200.52
